,ci_name,location_full
257,FWI201,EUROPE/ITALY/CASSANO SPINOLA
259,FWI208,AMERICA/USA/GURNEE
260,FWI210,AMERICA/USA/KEOKUK
261,FWI219,AMERICA/USA/KEOKUK
262,FWI221,AMERICA/Mexique/QUERETARO
263,FWI224,AMERICA/USA/GENEVA
265,FWI235J,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V10
266,FWI241,ASIA/JAPAN/TOKYO
267,FWI243,ASIA/SINGAPORE/SINGAPORE
268,FWI244,ASIA/CHINA/WUHAN
269,FWI252,ASIA/CHINA/SHANGHAI
270,FWI253,ASIA/CHINA/BJ OFFICE
271,FWI254,ASIA/CHINA/GZ OFFICE
272,FWI260,ASIA/CHINA/ST-PLANT
273,FWI263,ASIA/CHINA/NANNING/BLD11
274,FWI273,INDIA/INDIA/MUMBAI
275,FWI274,INDIA/INDIA/PANTNAGAR
276,FWI275,INDIA/INDIA/VIRAMGAM
277,FWI276,INDIA/INDIA/GOKAK
278,FWI281,EUROPE/POLAND/WARSAW
279,FWI287,ASIA/SINGAPORE/SINGAPORE R&D
280,FWI288,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
281,FWI294,AMERICA/CANADA/PORTAGE LA PRAIRIE
282,FWI297,AMERICA/USA/GENEVA/[[GENEVA LAB EXTENSION]]
283,FWI298,EUROPE/FRANCE/PARIS ST DENIS
284,FWI299,AMERICA/USA/Lower Gwynedd
287,FWI30D,EUROPE/THE NETHERLANDS/HORST
291,FWI445,EUROPE/FRANCE/MERVILLE
294,FWI50Y,EUROPE/FRANCE/SANTES (ID Logistics)
295,FWI529,EUROPE/FRANCE/ECURIE 103
296,FWI536,EUROPE/FRANCE/CORBIE-TRANSBLOIS
297,FWI537,EUROPE/FRANCE/SECLIN-BRAND MANUT.
298,FWI540,EUROPE/FRANCE/Noyelles-Les-Seclin
299,FWI560,EUROPE/FRANCE/Villers Brertonneux/Warehouse V2LMP
300,FWI585,EUROPE/ITALY/SERRAVALLE
303,FWI608,EUROPE/FRANCE/CIRY SALSOGNE
304,FWI638,EUROPE/FRANCE/SANTES (DCDIS)
305,FWI656,EUROPE/FRANCE/PARADIS
306,FWI801,EUROPE/GERMANY/FRANKFURT
316,FWI916A,EUROPE/FRANCE/CORBIE-TRANSBLOIS
317,FWI916B,EUROPE/FRANCE/CORBIE-TRANSBLOIS
318,FWI917A,EUROPE/FRANCE/CIRY SALSOGNE
319,FWI917B,EUROPE/FRANCE/CIRY SALSOGNE
324,FWI504,EUROPE/FRANCE/VILLERS BRX-STDN
326,FWI92B,AMERICA/BRESIL/ITAPEVI
338,FWI974A,EUROPE/FRANCE/Noyelles-Les-Seclin
339,FWI974B,EUROPE/FRANCE/Noyelles-Les-Seclin
357,FWIAAS,ASIA/AZURE
358,FWIAEU,EUROPE/AZURE
359,FWIAIN,EUROPE/AZURE
360,FWIAUS,AMERICA/AZURE
363,FWI242,ASIA/JAPAN/OSAKA
366,FWI256,ASIA/KOREA/SEOUL
380,FWIOOB,EUROPE/FRANCE/LESTREM
395,FW-ROQUETTE-LESTREM-SIEM1,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7
396,FW-ROQUETTE-LESTREM-SIEM2,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6
397,GEN-VC-INNOVATION,AMERICA/USA/GENEVA
398,LT-Panevezys_Lithuania-Amilina-LAB,EUROPE/LITUANIE/PANEVEZYS
399,M200D15A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15
400,M200D15B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15
401,M200D24B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B
402,M200D24B-HS12_3,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B
403,M200D24B-HS20_7,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B
404,M200D24B-HS21_12,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B
405,M200D25B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D25
406,M235L09B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B
407,M235L09B-HS12,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B
